Tarih,TP DK USD A YTL,
28-04-2021,8.23,
29-04-2021,8.19,
30-04-2021,8.18,
01-05-2021,,
02-05-2021,,
03-05-2021,8.23,
04-05-2021,8.29,
05-05-2021,8.31,
06-05-2021,8.34,
07-05-2021,8.31,
08-05-2021,,
09-05-2021,,
10-05-2021,8.27,
11-05-2021,8.25,
12-05-2021,8.29,
13-05-2021,,
14-05-2021,,
15-05-2021,,
16-05-2021,,
17-05-2021,8.29,
18-05-2021,8.35,
19-05-2021,,
20-05-2021,8.33,
21-05-2021,8.37,
22-05-2021,,
23-05-2021,,
24-05-2021,8.36,
25-05-2021,8.38,
26-05-2021,8.39,
27-05-2021,8.43,
28-05-2021,8.43,
29-05-2021,,
30-05-2021,,
31-05-2021,8.55,
01-06-2021,8.50,
02-06-2021,8.50,
03-06-2021,8.61,
04-06-2021,8.62,
05-06-2021,,
06-06-2021,,
07-06-2021,8.68,
08-06-2021,8.62,
09-06-2021,8.59,
10-06-2021,8.58,
11-06-2021,8.53,
12-06-2021,,
13-06-2021,,
14-06-2021,8.35,
15-06-2021,8.34,
16-06-2021,8.55,
17-06-2021,8.52,
18-06-2021,8.62,
19-06-2021,,
20-06-2021,,
21-06-2021,8.66,
22-06-2021,8.75,
23-06-2021,8.72,
24-06-2021,8.61,
25-06-2021,8.66,
26-06-2021,,
27-06-2021,,
28-06-2021,8.68,
29-06-2021,8.72,
30-06-2021,8.71,
01-07-2021,8.68,
02-07-2021,8.68,
03-07-2021,,
04-07-2021,,
05-07-2021,8.68,
06-07-2021,8.67,
07-07-2021,8.65,
08-07-2021,8.67,
09-07-2021,8.69,
10-07-2021,,
11-07-2021,,
12-07-2021,8.67,
13-07-2021,8.63,
14-07-2021,8.60,
15-07-2021,,
16-07-2021,8.61,
17-07-2021,,
18-07-2021,,
19-07-2021,8.51,
20-07-2021,,
21-07-2021,,
22-07-2021,,
23-07-2021,,
24-07-2021,,
25-07-2021,,
26-07-2021,8.51,
27-07-2021,8.57,
28-07-2021,8.56,
29-07-2021,8.54,
30-07-2021,8.50,
31-07-2021,,
01-08-2021,,
02-08-2021,8.41,
03-08-2021,8.39,
04-08-2021,8.32,
05-08-2021,8.42,
06-08-2021,8.53,
07-08-2021,,
08-08-2021,,
09-08-2021,8.56,
10-08-2021,8.64,
11-08-2021,8.62,
12-08-2021,8.62,
13-08-2021,8.57,
14-08-2021,,
15-08-2021,,
16-08-2021,8.54,
17-08-2021,8.47,
18-08-2021,8.41,
19-08-2021,8.46,
20-08-2021,8.51,
21-08-2021,,
22-08-2021,,
23-08-2021,8.53,
24-08-2021,8.46,
25-08-2021,8.41,
26-08-2021,8.38,
27-08-2021,8.36,
28-08-2021,,
29-08-2021,,
30-08-2021,,
31-08-2021,8.38,
01-09-2021,8.30,
02-09-2021,8.29,
03-09-2021,8.26,
04-09-2021,,
05-09-2021,,
06-09-2021,8.30,
07-09-2021,8.28,
08-09-2021,8.30,
09-09-2021,8.41,
10-09-2021,8.47,
11-09-2021,,
12-09-2021,,
13-09-2021,8.40,
14-09-2021,8.44,
15-09-2021,8.43,
16-09-2021,8.43,
17-09-2021,8.44,
18-09-2021,,
19-09-2021,,
20-09-2021,8.57,
21-09-2021,8.66,
22-09-2021,8.63,
23-09-2021,8.63,
24-09-2021,8.66,
25-09-2021,,
26-09-2021,,
27-09-2021,8.82,
28-09-2021,8.84,
29-09-2021,8.86,
30-09-2021,8.84,
01-10-2021,8.88,
02-10-2021,,
03-10-2021,,
04-10-2021,8.85,
05-10-2021,8.85,
06-10-2021,8.84,
07-10-2021,8.91,
08-10-2021,8.86,
09-10-2021,,
10-10-2021,,
11-10-2021,8.90,
12-10-2021,8.94,
13-10-2021,9.00,
14-10-2021,9.02,
15-10-2021,9.14,
16-10-2021,,
17-10-2021,,
18-10-2021,9.20,
19-10-2021,9.27,
20-10-2021,9.28,
21-10-2021,9.31,
22-10-2021,9.29,
23-10-2021,,
24-10-2021,,
25-10-2021,9.59,
26-10-2021,9.74,
27-10-2021,9.46,
28-10-2021,9.48,
29-10-2021,,
30-10-2021,,
31-10-2021,,
01-11-2021,9.48,
02-11-2021,9.53,
03-11-2021,9.52,
04-11-2021,9.66,
05-11-2021,9.69,
06-11-2021,,
07-11-2021,,
08-11-2021,9.70,
09-11-2021,9.68,
10-11-2021,9.70,
11-11-2021,9.78,
12-11-2021,9.92,
13-11-2021,,
14-11-2021,,
15-11-2021,9.91,
16-11-2021,9.98,
17-11-2021,10.17,
18-11-2021,10.40,
19-11-2021,10.70,
20-11-2021,,
21-11-2021,,
22-11-2021,11.03,
23-11-2021,11.17,
24-11-2021,12.16,
25-11-2021,12.61,
26-11-2021,12.00,
27-11-2021,,
28-11-2021,,
29-11-2021,12.08,
30-11-2021,12.66,
01-12-2021,12.94,
02-12-2021,13.34,
03-12-2021,13.41,
